title,isbn,price_eur,shop_link,google_search_link,shop,date_scraped
Дюймовочка (по слогам),9785389054738,7.07,https://notrelocus.com/products/дюймовочка,https://www.google.com/search?q=9785389054738,notre_locus,2026-03-29
Алиса в Стране чудес. Алиса в Зазеркалье,9785389243828,16.18,https://notrelocus.com/products/алиса-в-стране-чудес-алиса-в-зазеркалье-1,https://www.google.com/search?q=9785389243828,notre_locus,2026-03-29
"Мальчик, пес Рыжий и премудрости Картонной школы. Повесть",9785389167360,12.1,https://notrelocus.com/products/мальчик-пес-рыжий-и-премудрости-картонной-школы-повесть,https://www.google.com/search?q=9785389167360,notre_locus,2026-03-29
"Мальчик, Жестяной Гусь и возвращение Элефанты",9785389167414,12.1,https://notrelocus.com/products/мальчик-жестяной-гусь-и-возвращение-элефанты,https://www.google.com/search?q=9785389167414,notre_locus,2026-03-29
"Мальчик, Дядьмедведь и Птенчонок в ожидании пятницы. Повесть-сказка",9785389167384,12.1,https://notrelocus.com/products/мальчик-дядьмедведь-и-птенчонок-в-ожидании-пятницы-повесть-сказка,https://www.google.com/search?q=9785389167384,notre_locus,2026-03-29
Сказки волшебного леса: Лесной воришка. Сокровища острова бузины,9785389145184,13.16,https://notrelocus.com/products/сказки-волшебного-леса-лесной-воришка-сокровища-острова-бузины,https://www.google.com/search?q=9785389145184,notre_locus,2026-03-29
А почему Геракл такой сильный?,9785389170292,11.12,https://notrelocus.com/products/а-почему-геракл-такой-сильный,https://www.google.com/search?q=9785389170292,notre_locus,2026-03-29
А почему зебры полосатые?,9785389170667,11.12,https://notrelocus.com/products/а-почему-зебры-полосатые,https://www.google.com/search?q=9785389170667,notre_locus,2026-03-29
А почему динозавры такие огромные?,9785389170650,11.13,https://notrelocus.com/products/а-почему-динозавры-такие-огромные,https://www.google.com/search?q=9785389170650,notre_locus,2026-03-29
Гарри Поттер. Путешествие в историю волшебства,9785389138247,20.23,https://notrelocus.com/products/гарри-поттер-путешествие-в-историю-волшебства,https://www.google.com/search?q=9785389138247,notre_locus,2026-03-29
"Золотой ключик, или Приключения Буратино",9785389196353,16.13,https://notrelocus.com/products/золотой-ключик-или-приключения-буратино,https://www.google.com/search?q=9785389196353,notre_locus,2026-03-29
Маленький принц,9785389180666,13.16,https://notrelocus.com/products/маленький-принц-1,https://www.google.com/search?q=9785389180666,notre_locus,2026-03-29
Приключения Незнайки и его друзей,9785389187061,20.23,https://notrelocus.com/products/приключения-незнайки-и-его-друзей,https://www.google.com/search?q=9785389187061,notre_locus,2026-03-29
В стране невыученных уроков,9785389222885,14.15,https://notrelocus.com/products/в-стране-невыученных-уроков-1,https://www.google.com/search?q=9785389222885,notre_locus,2026-03-29
Малуся и Рогопед,9785389115934,18.88,https://notrelocus.com/products/малуся-и-рогопед,https://www.google.com/search?q=9785389115934,notre_locus,2026-03-29
Самые красивые сказки о животных,9785389236042,20.23,https://notrelocus.com/products/самые-красивые-сказки-о-животных,https://www.google.com/search?q=9785389236042,notre_locus,2026-03-29
Момо: повесть-сказка,9785389148000,14.15,https://notrelocus.com/products/момо-повесть-сказка,https://www.google.com/search?q=9785389148000,notre_locus,2026-03-29
"История, конца которой нет",9785389144743,20.23,https://notrelocus.com/products/история-конца-которой-нет,https://www.google.com/search?q=9785389144743,notre_locus,2026-03-29
Оскар и Розовая Дама,9785389184978,14.15,https://notrelocus.com/products/оскар-и-розовая-дама,https://www.google.com/search?q=9785389184978,notre_locus,2026-03-29
Путешествия Гулливера,9785389191341,22.92,https://notrelocus.com/products/путешествия-гулливера,https://www.google.com/search?q=9785389191341,notre_locus,2026-03-29
Сказки: А.С. Пушкин.,9785389194434,20.23,https://notrelocus.com/products/а-с-пушкин-сказки,https://www.google.com/search?q=9785389194434,notre_locus,2026-03-29
Хранитель острова Паффин,9785389193345,14.15,https://notrelocus.com/products/хранитель-острова-паффин,https://www.google.com/search?q=9785389193345,notre_locus,2026-03-29
Робинзона Крузо: Жизнь и удивительные приключения морехода,9785389172067,12.13,https://notrelocus.com/products/жизнь-и-удивительные-приключения-морехода-робинзона-крузо,https://www.google.com/search?q=9785389172067,notre_locus,2026-03-29
Вечера на хуторе близ Диканьки,9785389118638,22.92,https://notrelocus.com/products/вечера-на-хуторе-близ-диканьки-1,https://www.google.com/search?q=9785389118638,notre_locus,2026-03-29
Новое платье короля. Сказка,9785389186002,20.23,https://notrelocus.com/products/новое-платье-короля-сказка,https://www.google.com/search?q=9785389186002,notre_locus,2026-03-29
С днем рождения! Рассказы о животных,9785389242319,12.13,https://notrelocus.com/products/с-днем-рождения-рассказы-о-животных,https://www.google.com/search?q=9785389242319,notre_locus,2026-03-29
Шляпа Волшебника,9785389153844,12.1,https://notrelocus.com/products/шляпа-волшебника-перевод-мария-людковская,https://www.google.com/search?q=9785389153844,notre_locus,2026-03-29
Невидимая девочка и другие истории,9785389157828,12.11,https://notrelocus.com/products/невидимая-девочка-и-другие-истории,https://www.google.com/search?q=9785389157828,notre_locus,2026-03-29
Одиночество,9781912948727,20.23,https://notrelocus.com/products/одиночество,https://www.google.com/search?q=9781912948727,notre_locus,2026-03-29
Сказка о потерянном времени,9785389110878,12.1,https://notrelocus.com/products/сказка-о-потерянном-времени,https://www.google.com/search?q=9785389110878,notre_locus,2026-03-29
Доктор Айболит,9785389204799,16.13,https://notrelocus.com/products/доктор-айболит,https://www.google.com/search?q=9785389204799,notre_locus,2026-03-29
Толстый и тонкий,9785389152922,16.13,https://notrelocus.com/products/толстый-и-тонкий,https://www.google.com/search?q=9785389152922,notre_locus,2026-03-29
Каштанка,9785389104952,12.1,https://notrelocus.com/products/каштанка,https://www.google.com/search?q=9785389104952,notre_locus,2026-03-29
Дневник фокса Микки,9785389102439,12.1,https://notrelocus.com/products/дневник-фокса-микки,https://www.google.com/search?q=9785389102439,notre_locus,2026-03-29
Уроки французского,9785389134881,12.1,https://notrelocus.com/products/уроки-французского,https://www.google.com/search?q=9785389134881,notre_locus,2026-03-29
