Book Name;ISBN;Price (EUR);Original Price;Original Currency;Available
Англия и англичане;N/A;17,89;65,00;ILS;No
Занимательная физика;N/A;13,76;50,00;ILS;No
Обитаемый остров;N/A;15,14;55,00;ILS;No
Мемуары гейши;N/A;22,02;80,00;ILS;No
Занимательная астрономия;N/A;13,76;50,00;ILS;No
Теллурия;N/A;34,41;125,00;ILS;Yes
Бойня №5;N/A;17,89;65,00;ILS;No
Повелитель мух;N/A;19,27;70,00;ILS;No
Чума;N/A;20,64;75,00;ILS;No
Божественная комедия с иллюстрациями Гюстава Доре;N/A;66,06;240,00;ILS;No
День опричника;N/A;26,15;95,00;ILS;Yes
Госпожа Бовари;N/A;13,76;50,00;ILS;No
Маленькая жизнь;N/A;53,68;195,00;ILS;No
Щегол;N/A;60,56;220,00;ILS;No
Черный обелиск;N/A;16,52;60,00;ILS;No
Властелин колец;N/A;82,58;300,00;ILS;No
День опричника;N/A;15,14;55,00;ILS;No
Думай медленно... решай быстро;N/A;39,91;145,00;ILS;No
Тру-крайм свидания;N/A;24,77;90,00;ILS;No
Империя истребления. История массовых убийств, совершенных нацистами;N/A;30,28;110,00;ILS;No
Литораль;N/A;23,40;85,00;ILS;No
Средняя продолжительность жизни;N/A;24,77;90,00;ILS;Yes
Кластер;N/A;23,40;85,00;ILS;No
Троцкий. Жизнь революционера;N/A;30,28;110,00;ILS;Yes
Происхождение вкусов. Как любовь к еде сделала нас людьми;N/A;26,15;95,00;ILS;No
Полка. История русской поэзии;N/A;49,55;180,00;ILS;No
Стихи и вещи. Как поэты Серебряного века стали иконами стиля;N/A;28,90;105,00;ILS;Yes
Легкое дыхание;N/A;19,27;70,00;ILS;No
Сын ХАМАСа;N/A;26,15;95,00;ILS;No
Вьетнам. История трагедии. 1945-1975;N/A;37,16;135,00;ILS;No
Конкистадоры. Новая история открытия и завоевания Америки;N/A;37,16;135,00;ILS;No
Иллюзия себя. Что говорит нейронаука о нашем самовосприятии;N/A;26,15;95,00;ILS;No
Валсарб;N/A;23,40;85,00;ILS;No
Машина творения. Новые организмы, редактирование генома и лабораторные гамбургеры;N/A;30,28;110,00;ILS;No
Конец мегафауны. Увлекательная жизнь и загадочная гибель мамонтов, саблезубых тигров и гигантских ленивцев;N/A;46,79;170,00;ILS;Yes
Чистый лист. Природа человека. Кто и почему отказывается признавать ее сегодня;N/A;30,28;110,00;ILS;No
Язык как инстинкт;N/A;39,91;145,00;ILS;No
С неба упали три яблока. Люди, которые всегда со мной. Зулали;N/A;42,67;155,00;ILS;No
Сильмариллион;N/A;15,14;55,00;ILS;No
Хороших девочек не убивают;N/A;22,02;80,00;ILS;No
О психологии бессознательного;N/A;15,14;55,00;ILS;No
Как пингвины спасли Веронику;N/A;23,40;85,00;ILS;No
Король, дама, валет;N/A;26,15;95,00;ILS;No
Как писать книги;N/A;16,52;60,00;ILS;No
Руководство по истреблению вампиров от книжного клуба Южного округа;N/A;26,15;95,00;ILS;No
Эвмесвиль;N/A;17,89;65,00;ILS;No
Стрижи;N/A;50,92;185,00;ILS;No
Молчание цвета;N/A;23,40;85,00;ILS;No
Бойцовский клуб;N/A;20,64;75,00;ILS;No
Нечисть Швеции: обитатели кладбищ, лесов и полей;N/A;45,42;165,00;ILS;No
Повести л-ских писателей;N/A;26,15;95,00;ILS;No
На языке эльфов;N/A;24,77;90,00;ILS;No
Взгляни на арлекинов!;N/A;26,15;95,00;ILS;No
Алиса в Стране Чудес. Рисунки А. Кошкина;N/A;38,54;140,00;ILS;Yes
Занимательная геометрия;N/A;13,76;50,00;ILS;No
Черный обелиск;N/A;24,77;90,00;ILS;No
Тест Сегаля;N/A;22,02;80,00;ILS;No
Интенсивный курс иврита для начинающих;N/A;23,40;85,00;ILS;No
Воскресение Маяковского;N/A;26,15;95,00;ILS;No
Италия в Сарматии. Пути Ренессанса в Восточной Европе;N/A;16,52;60,00;ILS;No
Бледный огонь;N/A;12,39;45,00;ILS;Yes
Разговоры в зеркале;N/A;19,27;70,00;ILS;No
Святая негативность. Насилие и сакральное в философии Жоржа Батая;N/A;26,15;95,00;ILS;No
Писатель Сталин. Язык, приемы, сюжеты;N/A;22,02;80,00;ILS;No
Рынок удобных животных;N/A;26,15;95,00;ILS;No
Внутренняя колонизация. Имперский опыт России;N/A;30,28;110,00;ILS;No
Христианские левые. Введение в радикальную и социалистическую христианскую мысль;N/A;24,77;90,00;ILS;No
«Работа мечты». За кулисами индустрии моды;N/A;28,90;105,00;ILS;No
История усталости от Средневековья до наших дней;N/A;31,66;115,00;ILS;No
Мир поздней Античности. 150–750 гг. н. э.;N/A;35,78;130,00;ILS;No
Природа зла. Культурная история природных ресурсов;N/A;31,66;115,00;ILS;No
Аврам-трава. Стихотворения 2017–2023 годов;N/A;23,40;85,00;ILS;No
Имена парижских улиц. Путеводитель по названиям;N/A;26,15;95,00;ILS;No
Очарование тайны. Эзотеризм и массовая культура;N/A;31,66;115,00;ILS;No
Тамиздат. Контрабандная русская литература в эпоху холодной войны;N/A;31,66;115,00;ILS;No
Соотношения сил. История, риторика, доказательство;N/A;28,90;105,00;ILS;No
