title,vendor,isbn,price_eur,link,shop,updated_at
"Мария Грипе ""Дети теней""",Белая ворона/ Albus Corvus,9785001140245,14.26,https://nmbooks.shop/products/d10579,nm_books,2026-03-29
"Мария Грипе ""Тень на каменной скамейке""",Белая ворона/ Albus Corvus,9785906640840,9.98,https://nmbooks.shop/products/d10578,nm_books,2026-03-29
"Мария Грипе ""Сесилия Агнес - Странная история""",Белая ворона/ Albus Corvus,9785906640635,9.98,https://nmbooks.shop/products/d10577,nm_books,2026-03-29
"Умберто Эко ""Маятник Фуко""",Corpus,9785170831890,32.6,https://nmbooks.shop/products/d10576,nm_books,2026-03-29
"Джим Старлин ""Танос. Откровение бесконечности""",Parallel Comics,9785604012345,24.45,https://nmbooks.shop/products/d10575,nm_books,2026-03-29
"Роберто Карнеро ""Пазолини. Умереть за идеи""",АСТ,9785171549138,21.6,https://nmbooks.shop/products/d10574,nm_books,2026-03-29
"Тилли Уолден ""Пируэт""",Бумкнига,9785906331861,21.6,https://nmbooks.shop/products/d10573,nm_books,2026-03-29
"Фредерик Питерс ""Голубые таблетки""",Бумкнига,9785906331526,14.67,https://nmbooks.shop/products/d10572,nm_books,2026-03-29
"Юрий Гуголев ""От гульбищ до капищ""",Пятая волна,9783910741287,14.67,https://nmbooks.shop/products/d10571,nm_books,2026-03-29
"Сэмюэл Мойн ""Последняя утопия. Права человека в истории""",Новое литературное обозрение (НЛО),9785444821282,20.37,https://nmbooks.shop/products/d10570,nm_books,2026-03-29
"Тодж Нейтон ""Преступный разум""",Альпина Паблишер,9785002230167,7.33,https://nmbooks.shop/products/d10569,nm_books,2026-03-29
Хрестоматия Тотального диктанта от Быкова до Яхиной,Эксмо,9785040990740,6.52,https://nmbooks.shop/products/d10568,nm_books,2026-03-29
"Тибо Дамур ""Мир по Эйнштейну. От теории относительности до теории струн:""",Альпина нон-фикшн,9785916714852,12.22,https://nmbooks.shop/products/d10567,nm_books,2026-03-29
"Эткинд ""Кривое горе""",Новое литературное обозрение (НЛО),9785444822487,15.48,https://nmbooks.shop/products/d10566,nm_books,2026-03-29
"Кен Дженнингс ""Греческие мифы""",Карьера-пресс,9785000741184,8.15,https://nmbooks.shop/products/d10565,nm_books,2026-03-29
"Иван Беляев ""Вацлав Гавел. Жизнь в истории""",Новое литературное обозрение (НЛО),9785444812068,14.67,https://nmbooks.shop/products/d10564,nm_books,2026-03-29
"Алексей Иванов ""Ненастье"" (дефект обложки)",Альпина нон-фикшн,9785002230952,12.22,https://nmbooks.shop/products/d10583,nm_books,2026-03-29
"Андрей Пионтковский ""Третий путь ... к рабству"". Том 1",ISIA,9783910741966,20.37,https://nmbooks.shop/products/d105634,nm_books,2026-03-29
"Адам Туз. ""Всемирный потоп. Великая война и переустройство мирового порядка, 1916-1931 годы""",Издательство института Гайдара,9785932555033,36.67,https://nmbooks.shop/products/d105633,nm_books,2026-03-29
"Адам Туз. ""Крах. Как десятилетие финансовых кризисов изменило мир""",Издательство института Гайдара,9785932555637,36.67,https://nmbooks.shop/products/d105632,nm_books,2026-03-29
"Б. Чухович ""Любовь, дружба, вечность Усто Мумина""",Artguide,9788090889910,32.6,https://nmbooks.shop/products/d10562,nm_books,2026-03-29
"Алексей Смирнов фон Раух ""Доска Дионисия""",Individuum,9785907696303,20.37,https://nmbooks.shop/products/d10561,nm_books,2026-03-29
Джованни Чиварди: Анатомия для Художников. Самое полное пособие по рисованию человека,Бомбора,9785040976454,22.41,https://nmbooks.shop/products/d10208,nm_books,2026-03-29
"Пришёл, увидел и убил. Как и почему римляне убивали. Эмма Саутон",Бомбора,9785041181482,13.85,https://nmbooks.shop/products/10401,nm_books,2026-03-29
"Даша Димитрова, Ольга Дергачёва. Я кабан, а вы вонючки!",Самокат,9785001674467,14.26,https://nmbooks.shop/products/10521,nm_books,2026-03-29
